#,单词,音标,解释,笔记
39,afraid,英:/ə'freɪd/ 美:/ə'fred/,adj. 害怕的；担心的；恐怕,
40,after,英:/'ɑːftə/ 美:/'æftɚ/,adv. 后来，以后 prep. 在……之后,
41,afternoon,英:/ɑːftə'nuːn/ 美:/ˌæftɚ'nun/,n.下午；下午好,
42,afterward,英:/ˈɑ:ftəwəd/ 美:/ˈæftɚwɚd/,"adv. 以后, 过后, 后来",
43,again,英:/ə'gen/ 美:/ə'ɡɛn/,adv. 再一次；又，此外,
44,against,英:/ə'genst/ 美:/ə'ɡɛnst/,prep. 反对，违反；靠；倚；防备 adj. 对立的；不利的,
45,age,英:/eɪdʒ/ 美:/edʒ/,n. 年龄；时代；阶段；寿命，使用年限 vi. 变老；成熟,
46,ago,英:/ə'gəʊ/ 美:/ə'ɡo/,adv. 以前，以往 adj. 过去的；以前的,
47,agree,英:/ə'griː/ 美:/ə'ɡri/,vt. 同意；赞成；承认 vi. 同意；意见一致,
48,agreement,英:/əˈɡriːmənt/ 美:/əˈɡriːmənt/,"n. 协定, 协议, 契约 达成协议 同意",
49,ahead,英:/əˈhed/ 美:/əˈhed/,adv. 向前；预先；领先 adj. 向前的；领先的,
50,aid,英:/eɪd/ 美:/eɪd/,n. 帮助；援助；助手；帮助者 vt. 帮助；援助；有助于,
51,air,英:/eə/ 美:/ɛr/,n. 空气，大气；曲调；天空；样子 vt. 使通风，晾干；夸耀,
52,aircraft,英:/ˈeəkrɑːft/ 美:/ˈerkræft/,n. 飞机，航空器,
53,airport,英:/'eəpɔːt/ 美:/'ɛr'pɔrt/,n. 机场；航空站,
54,alcohol,英:/ˈælkəhɒl/ 美:/ˈælkəhɔːl/,n. 酒精，乙醇,
55,alive,英:/əˈlaɪv/ 美:/əˈlaɪv/,adj. 活着的；活泼的；有生气的,
56,all,英:/ɔːl/ 美:/ɔl/,adj. 全部的 adv. 越发；全然地,
57,allow,英:/əˈlaʊ/ 美:/əˈlaʊ/,vt. 允许；认可；给予 vi. 容许；考虑,
58,almost,英:/'ɔːlməʊst/ 美:/'ɔlmost/,adv. 差不多，几乎,
59,alone,英:/ə'ləʊn/ 美:/ə'lon/,adj. 单独的；孤独的；独自的 adv. 独自地；单独地,
60,along,英:/ə'lɒŋ/ 美:/ə'lɔŋ/,adv. 向前；一起；来到 prep. 沿着；顺着,
61,already,英:/ɔːl'redɪ/ 美:/ɔl'rɛdi/,adv. 已经，早已；先前,
62,also,英:/'ɔːlsəʊ/ 美:/'ɔlso/,adv. 也；同样；而且 conj. 并且；另外,
63,although,英:/ɔːl'ðəʊ/ 美:/ɔl'ðo/,conj. 虽然，尽管,
64,always,英:/'ɔːlweɪz/ 美:/'ɔlwez/,adv. 总是；永远，一直；常常,
65,among,英:/ə'mʌŋ/ 美:/ə'mʌŋ/,prep. 在…中间；在…之中,
66,amount,英:/əˈmaʊnt/ 美:/əˈmaʊnt/,vi. 总计，合计；共计；相当于；产生…结果 n. 数量；总额，总数,
67,amuse,英:/əˈmjuːz/ 美:/əˈmjuːz/,vt. 使发笑；消遣；娱乐；使愉快,
68,ancient,英:/'eɪnʃ(ə)nt/ 美:/'enʃənt/,adj. 古代的；古老的，过时的；年老的 n. 老人；古代人,
69,and,英:/ənd/ 美:/ənd/,conj. 和，与；而且；然后；就；但是,
70,anger,英:/ˈæŋɡə(r)/ 美:/ˈæŋɡər/,n. 怒，愤怒；忿怒 vt. 使发怒，激怒；恼火,
71,angry,英:/'æŋgrɪ/ 美:/'æŋɡri/,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的,
72,animal,英:/'ænɪm(ə)l/ 美:/'ænɪml/,n. 动物,
73,announce,英:/əˈnaʊns/ 美:/əˈnaʊns/,vt. 宣布；述说；预示；播报 vi. 宣布参加竞选；当播音员,
74,annoy,英:/əˈnɔɪ/ 美:/əˈnɔɪ/,vt. 骚扰；打搅；惹恼 vi. 令人讨厌；打搅；惹恼,
75,another,英:/ə'nʌðə/ 美:/ə'nʌðɚ/,adj. 另外的；不同的；又一，另一 pron. 另一个；又一个,
76,answer,英:/'ɑːnsə/ 美:/'ænsɚ/,vt. 符合；回答 vi. 符合；回答,
77,anxious,英:/ˈæŋkʃəs/ 美:/ˈæŋkʃəs/,adj. 渴望的；担忧的；焦虑的；急切的,
78,any,英:/'enɪ/ 美:/'ɛni/,adj. 任何的；所有的；丝毫 pron. 任何；任何一个；若干,
79,anyone,英:/'enɪwʌn/ 美:/'ɛnɪ'wʌn/,pron. 任何人；任何一个,
80,anything,英:/'enɪθɪŋ/ 美:/'ɛnɪ'θɪŋ/,pron. 任何事,
81,anywhere,英:/'enɪweə/ 美:/'ɛnɪwɛr/,adv. 无论何处；在任何地方 n. 任何地方,
82,apart,英:/əˈpɑːt/ 美:/əˈpɑːrt/,adv. 分离着；相距；与众不同地 adj. 分离的；与众不同的,
83,apartment,英:/əˈpɑːtmənt/ 美:/əˈpɑːrtmənt/,"n. 一套房间, 一户 厅堂, 殿堂",
84,appear,英:/əˈpɪə(r)/ 美:/əˈpɪr/,vi. 出现；似乎；显得；[法]出庭,
85,appearance,英:/əˈpɪərəns/ 美:/əˈpɪrəns/,"n. 出现, 显露, 露面 外观, 外貌, 外表",
86,apple,英:/'æp(ə)l/ 美:/'æpl/,n. 苹果；[俚]家伙,
87,approval,英:/əˈpruːvl/ 美:/əˈpruːvl/,n. 赞成；批准；认可,
88,additional,英:/əˈdɪʃənl/ 美:/əˈdɪʃənl/,"adj. 增加的, 额外的, 另外的",
89,angle,英:/ˈæŋɡl/ 美:/ˈæŋɡl/,n. 角，角度；视角；立场；角铁；（古）鱼钩 v. 斜移；从……角度提供信息；钓鱼；谋取,
90,approve,英:/əˈpruːv/ 美:/əˈpruːv/,vt. 批准；赞成；为…提供证据 vi. 批准；赞成；满意,
91,area,英:/'eərɪə/ 美:/'ɛrɪə/,n. 面积；区域，地区；范围,
92,argument,英:/ˈɑːɡjumənt/ 美:/ˈɑːrɡjumənt/,n. 争吵；论据；内容提要；论证,
93,arm,英:/ɑːm/ 美:/ɑːrm/,n. 手臂；袖子；武器；装备 vi. 武装起来,
94,army,英:/ˈɑːmi/ 美:/ˈɑːrmi/,n. 陆军，军队,
95,around,英:/ə'raʊnd/ 美:/ə'raʊnd/,adv. 到处；大约；在附近 prep. 四处；在…周围,
96,arrange,英:/əˈreɪndʒ/ 美:/əˈreɪndʒ/,vt. 排列；安排；整理 vi. 安排；排列；协商,
97,arrangement,英:/əˈreɪndʒmənt/ 美:/əˈreɪndʒmənt/,n. 安排; 解决办法 约定; 协议 布置好的东西 改编曲,
98,arrival,英:/əˈraɪvl/ 美:/əˈraɪvl/,n. 到达；到达者；到来,
99,arrive,英:/ə'raɪv/ 美:/ə'raɪv/,vi. 到达；成功；出生；达成,
100,art,英:/ɑːt/ 美:/ɑrt/,n. 艺术；美术；艺术品 adj. 艺术的；艺术品的,
101,article,英:/ˈɑːtɪkl/ 美:/ˈɑːrtɪkl/,n. 物品；文章；冠词；条款 vt. 订约将…收为学徒或见习生；使…受协议条款的约束,
102,as,英:/æz/ 美:/æz/,conj. 因为；依照；当…时；随着；虽然 prep. 当作；以…的身份；如同,
103,ashamed,英:/əˈʃeɪmd/ 美:/əˈʃeɪmd/,adj. 惭愧的，感到难为情的；耻于……的,
104,ask,英:/ɑːsk/ 美:/æsk/,vt. 问，询问；邀请；要求；需要；讨价 vi. 要求；问，询问,
105,asleep,英:/ə'sliːp/ 美:/ə'slip/,adj. 睡着的；麻木的；长眠的 adv. 进入睡眠状态；熟睡地,
106,association,英:/əˌsəʊsiˈeɪʃn/ 美:/əˌsoʊsiˈeɪʃn/,n. 协会；社团；交往；联想；联合；结合,
107,at,英:/æt/ 美:/ət/,prep. 在（表示存在或出现的地点、场所、位置、空间）；向；朝；因为；忙于；以（某种价格、速度等）,
108,atom,英:/ˈætəm/ 美:/ˈætəm/,n. 原子,
109,attach,英:/əˈtætʃ/ 美:/əˈtætʃ/,v. 系，绑；连接；使附着；附上；固定；把…作为电子邮件的附件,
110,attack,英:/əˈtæk/ 美:/əˈtæk/,n. 攻击；抨击；疾病发作 vt. 抨击；攻击；动手干,
111,attend,英:/əˈtend/ 美:/əˈtend/,vt. 出席；上（大学等）；照料；招待；陪伴 vi. 出席；照料；照顾；致力于,
112,attention,英:/ə'tenʃ(ə)n/ 美:/ə'tɛnʃən/,"n. 注意, 专心, 留心 殷勤, 厚待",
113,attitude,英:/ˈætɪtjuːd/ 美:/ˈætɪtuːd/,n. 态度；姿势；看法；意见,
114,attractive,英:/əˈtræktɪv/ 美:/əˈtræktɪv/,adj. 有吸引力的；有魅力的,
115,authority,英:/ɔːˈθɒrəti/ 美:/əˈθɔːrəti/,n. 威信，权力；管辖权；当局，官方；当权者；权威人士，专家，泰斗,
116,autumn,英:/'ɔːtəm/ 美:/'ɔtəm/,n. 秋天；成熟期；渐衰期，凋落期 adj. 秋天的，秋季的,
117,available,英:/əˈveɪləbl/ 美:/əˈveɪləbl/,adj. 可利用的；可得到的；有空的；有效的；【政】有资格的，适合的,
118,average,英:/ˈævərɪdʒ/ 美:/ˈævərɪdʒ/,n. 平均；平均数；[商]海损 adj. 平均的；普通的,
119,avoid,英:/əˈvɔɪd/ 美:/əˈvɔɪd/,vt. 避免；避开，躲避；消除,
120,awake,英:/ə'weɪk/ 美:/ə'wek/,vi. 觉醒，意识到；醒来；被唤起 vt. 唤醒；激起，唤起；使觉醒,
121,away,英:/ə'weɪ/ 美:/ə'we/,adv. 离去，离开；在远处,
122,awkward,英:/ˈɔːkwəd/ 美:/ˈɔːkwərd/,adj. 笨拙的；尴尬的；棘手的；不合适的,
123,baby,英:/'beɪbɪ/ 美:/'bebi/,n. 婴儿，婴孩；孩子气的人 vt. 纵容，娇纵；把……当婴儿般对待,
124,back,英:/bæk/ 美:/bæk/,n. 背部；后面；靠背；足球等的后卫；书报等的末尾 vt. 支持；后退；下赌注；背书,
125,background,英:/ˈbækɡraʊnd/ 美:/ˈbækɡraʊnd/,"n. (画等的)背景, 底色 背景情况 个人背景资料",
126,backward,英:/ˈbækwəd/ 美:/ˈbækwərd/,adj. 向后的；反向的；发展迟缓的 adv. 相反地；向后地,
127,bag,英:/bæg/ 美:/bæɡ/,n. 袋；猎获物；（俚）一瓶啤酒 vt. 猎获；把…装入袋中；[口]占据，私吞；使膨大,
128,bake,英:/beɪk/ 美:/beɪk/,"vt. & vi. 烤, 烘焙",
129,balance,英:/ˈbæləns/ 美:/ˈbæləns/,n. 平衡；匀称；余额 vt. 使平衡；结算；使相称,
130,ball,英:/bɔ:l/ 美:/bɔl/,n. 球；舞会 vi. 成团块,
131,band,英:/bænd/ 美:/bænd/,n. 带；松紧带；传送带；乐队；一帮 vi. 联合；聚焦,
132,bank,英:/bæŋk/ 美:/bæŋk/,n. 银行；岸；储库；浅滩 vt. 将…存入银行；倾斜转弯,
133,base,英:/beɪs/ 美:/beɪs/,n. 底部；垒；基础 adj. 卑鄙的；低劣的,
134,baseball,英:/ˈbeisbɔ:l/ 美:/'besbɔl/,n. 棒球运动；棒球,
135,basket,英:/'bɑːskɪt/ 美:/'bæskɪt/,n. 篮子；（篮球比赛的）得分；一篮之量；篮筐 vt. 装入篮,
136,bath,英:/bɑːθ/ 美:/bæθ/,n. 浴室；沐浴；浴盆 vt. 洗澡,
137,battle,英:/ˈbætl/ 美:/ˈbætl/,n. 战役；斗争 vi. 作战；斗争,
138,be,英:/biː/ 美:/bi/,prep. 在，存在；是,
139,beach,英:/biːtʃ/ 美:/bitʃ/,n. 海滩；湖滨 vt. 将…拖上岸,
140,beak,英:/biːk/ 美:/biːk/,n. 鸟嘴；鹰钩鼻子；地方执法官；男教师,
141,beam,英:/biːm/ 美:/biːm/,"n. 梁, 横梁 束, 柱 vi. 发出光与热 面露喜色 vt. 播送",
142,bean,英:/biːn/ 美:/biːn/,n. 豆；[动]嘴峰；[美口]毫无价值的东西 vt. [美口]击…的头部,
143,beat,英:/biːt/ 美:/bit/,vt. 打；打败 vi. 打；打败；拍打；有节奏地舒张与收缩,
144,beautiful,英:/ˈbjuːtəf(ə)l/ 美:/'bjʊtəfəl/,"adj. 美丽的, 悦目的 极好的, 很好的",
145,beauty,英:/ˈbjuːti/ 美:/ˈbjuːti/,n. 美；美人；美好的东西；美丽,
146,because,英:/bɪ'kɒz/ 美:/bɪ'kɔz/,conj. 因为,
147,become,英:/bɪ'kʌm/ 美:/bɪ'kʌm/,vi. 变成；变得；成为 vt. 适合；相称,
148,bed,英:/bed/ 美:/bɛd/,n. 床；基础；河底， 海底 vt. 使睡觉；安置，嵌入；栽种,
149,beer,英:/bɪə(r)/ 美:/bɪr/,n. 啤酒 vi. 喝啤酒,
150,before,英:/bɪ'fɔː/ 美:/bɪ'fɔr/,prep. 在…之前，先于 adv. 在前；以前,
151,begin,英:/bɪˈɡɪn/ 美:/bɪˈɡɪn/,vt. 开始 vi. 开始；首先,
152,beginning,英:/bɪ'gɪnɪŋ/ 美:/bɪ'ɡɪnɪŋ/,n. 开始；开端；起源；早期 adj. 刚开始的,
153,behave,英:/bɪˈheɪv/ 美:/bɪˈheɪv/,vi. 表现；举止端正；（机器等）运转；（事物）起某种作用 vt. 使守规矩；使表现得…,
154,behavior,英:/bɪˈheɪvjə(r)/ 美:/bɪˈheɪvjər/,n. 行为，举止；态度；反应,
155,belief,英:/bɪˈliːf/ 美:/bɪˈliːf/,n. 相信，信赖；教义；信仰,
156,believe,英:/bɪ'liːv/ 美:/bɪ'liv/,vi. 信任；料想；笃信宗教 vt. 相信；认为；信任,
157,bell,英:/bel/ 美:/bɛl/,n. 铃，钟；钟声，铃声；钟状物 vt. 装钟于，系铃于,
158,belong,英:/bɪˈlɒŋ/ 美:/bɪˈlɔːŋ/,vi. 属于，应归入；适宜；应被放置；居住,
159,below,英:/bɪ'ləʊ/ 美:/bɪ'lo/,adv. 在下面，在较低处；在本页下面 prep. 在…下面,
160,belt,英:/belt/ 美:/belt/,n. 地带；带；腰带 vt. 用带子系住；用皮带抽打,
161,bend,英:/bend/ 美:/bend/,vt. 使弯曲；使屈服；使致力；使朝向 vi. 弯曲，转弯；屈服；专心于；倾向,
162,beneath,英:/bɪˈniːθ/ 美:/bɪˈniːθ/,prep. 在…之下 adv. 在下方,
163,best,英:/best/ 美:/best/,n. 最好的人，最好的事物；最佳状态 adj. 最好的,
164,better,英:/ˈbetə(r)/ 美:/ˈbetər/,n. 较好者；打赌的人（等于bettor）；长辈 adv. 更多的；更好的；较大程度地,
165,between,英:/bɪ'twiːn/ 美:/bɪ'twin/,prep. 在…之间 adv. 在中间,
166,beyond,英:/bɪˈjɒnd/ 美:/bɪˈjɑːnd/,prep. 超过；越过；在...较远的一边；那一边 adv. 在更远处；在远处,
167,big,英:/bɪg/ 美:/bɪɡ/,adj. 大的；重要的；量大的 adv. 大量地；夸大地；顺利,
168,biology,英:/baɪˈɒlədʒi/ 美:/baɪˈɑːlədʒi/,n. 生物学；（一个地区全部的）生物,
169,bird,英:/bɜːd/ 美:/bɝd/,n. 鸟；家伙；羽毛球 vt. 向…喝倒彩；起哄,
170,birth,英:/bɜːθ/ 美:/bɜːrθ/,n. 出生；血统，出身；起源,
171,bit,英:/bɪt/ 美:/bɪt/,n. 少量；马嚼子；比特（二进位制信息单位）；辅币；[口]老一套 vt. 控制,
172,bitter,英:/ˈbɪtə(r)/ 美:/ˈbɪtər/,adj. 苦的；痛苦的；充满仇恨的；尖刻的 n. 苦味；苦啤酒,
173,black,英:/blæk/ 美:/blæk/,adj. 黑的；不加牛奶的；很脏的；愤怒的；令人沮丧的；邪恶的；阴沉的；机密的；黑色幽默的 n. 黑色；黑人；黑色物 v. 抵制；(使)变黑,
174,blade,英:/bleɪd/ 美:/bleɪd/,n. 刀片，刀锋；叶片；剑,
175,blind,英:/blaɪnd/ 美:/blaɪnd/,adj. 瞎的；盲目的 adv. 看不见地；盲目地,
176,block,英:/blɒk/ 美:/blɑːk/,n. 块；街区；障碍物；大厦 vt. 阻塞；阻止；限制,
177,blood,英:/blʌd/ 美:/blʌd/,n. 血，血液；血统 vt. 从…抽血；使先取得经验,
178,blow,英:/bləʊ/ 美:/bloʊ/,n. 吹；殴打；打击 vi. 风吹；喘气,
179,blue,英:/bluː/ 美:/bluː/,adj. 蓝色的；天蓝色的；蔚蓝色的；悲伤的；忧郁的；沮丧的；下流的 n. 蓝色；天蓝色；蔚蓝色 v. 变蓝；（使）变蓝；把…染成蓝色,
180,board,英:/bɔːd/ 美:/bɔːrd/,n. 木板；甲板；膳食；董事会 vt. 用板盖上；上（飞机、车、船等）；给提供膳宿,
181,boat,英:/bəʊt/ 美:/boʊt/,n. 小船；轮船 vi. 划船,
182,body,英:/'bɒdɪ/ 美:/'bɑdi/,n. 身体；主体；团体；主要部分；大量 vt. 赋以形体,
183,boil,英:/bɔɪl/ 美:/bɔɪl/,vi. 煮沸，沸腾；激动，激昂 vt. 煮沸，烧开；使…激动；使…蒸发,
184,bomb,英:/bɒm/ 美:/bɑːm/,vt. 轰炸，投弹于 vi. 轰炸，投弹；失败,
185,bone,英:/bəʊn/ 美:/boʊn/,n. 骨；骨骼；香烟；一首歌 vt. 剔去...的骨；施骨肥于,
186,book,英:/bʊk/ 美:/bʊk/,n. 书籍；帐簿；卷；名册；工作簿 vt. 预订；登记,
187,border,英:/ˈbɔːdə(r)/ 美:/ˈbɔːrdər/,n. 边界；边境；国界 vt. 接近；与…接壤；在…上镶边,
188,bored,英:/bɔ:d/ 美:/bɔrd/,adj. 无聊的；烦人的；无趣的 v. 烦扰；使厌烦（bore的过去式）,
189,boring,英:/ˈbɔːrɪŋ/ 美:/ˈbɔːrɪŋ/,adj. 令人厌烦的；无聊的 n. 钻孔,
190,born,英:/bɔ:n/ 美:/bɔrn/,v. 出世（bear的过去分词） adj. 天生的,
191,borrow,英:/ˈbɒrəʊ/ 美:/ˈbɔːroʊ/,vi. 借；借用；从其他语言中引入 vt. 借用；借,
192,both,英:/bəʊθ/ 美:/boθ/,adj. 两者的；两个的 adv. 又；并；两者皆,
193,bottle,英:/'bɒt(ə)l/ 美:/'bɑtl/,n. 瓶子；一瓶的容量 vt. 把…装入瓶中；控制,
194,bottom,英:/ˈbɒtəm/ 美:/ˈbɑːtəm/,n. 底部，最下部，（朝下的）底，底面；（容器内的）底；（湖、河、游泳池等的）底，水底；（班级、名单等的）最末位置，排名最后的人（或团队等）；（吃水线以下的）船底，船身；【英】…尽头，屁股，臀部；（两件套衣服的）下半身（bottoms） adj. 底部的，最后的，尽头的 v. （价格、恶劣局势等）降到最低点，停止恶化（bottom out）,
195,bowl,英:/bəʊl/ 美:/boʊl/,n. 碗；木球；大酒杯 vi. 玩保龄球；滑动；平稳快速移动,
196,box,英:/bɒks/ 美:/bɑks/,n. 箱，盒子；包厢；一拳 vi. 拳击,
197,boy,英:/bɒɪ/ 美:/bɔɪ/,n. 男孩；[美口]男人,
198,boyfriend,英:/'bɒɪfrend/ 美:/'bɔɪfrɛnd/,n. 男朋友,
199,brain,英:/breɪn/ 美:/breɪn/,n. 脑袋；头脑，智力 vt. 猛击…的头部,
200,branch,英:/brɑːntʃ/ 美:/bræntʃ/,vt. 分支；出现分歧 vi. 分支；出现分歧,
201,brave,英:/breɪv/ 美:/brev/,adj. 勇敢的；华丽的 vt. 勇敢地面对,
202,bread,英:/bred/ 美:/brɛd/,n. 面包 生计,
203,break,英:/breɪk/ 美:/breɪk/,n. 休息，中断；破裂处 vt. 打破，弄破；中断；弄坏；削弱,
204,breakfast,英:/'brekfəst/ 美:/'brɛkfəst/,n. 早餐 v. 吃早餐；用早餐,
205,breast,英:/brest/ 美:/brest/,n. 乳房，胸部；胸怀；心情 vt. 以胸对着；与…搏斗,
206,breath,英:/breθ/ 美:/breθ/,n. 呼吸，气息；一口气，（呼吸的）一次；微风；瞬间，瞬息；迹象；[语]无声音，气音,
207,breathe,英:/briːð/ 美:/briːð/,vi. 呼吸；低语；松口气；（风）轻拂 vt. 呼吸；流露；使喘息；低声说,
208,breed,英:/briːd/ 美:/briːd/,vi. 繁殖；饲养；产生 vt. 繁殖；饲养；养育，教育；引起,
209,brick,英:/brɪk/ 美:/brɪk/,n. 砖，砖块；砖形物；[口]心肠好的人 vt. 用砖砌,
210,bridge,英:/brɪdʒ/ 美:/brɪdʒ/,n. 桥；桥牌；船桥；桥接器 vt. 渡过；架桥,
211,bright,英:/brait/ 美:/braɪt/,adj. 明亮的，鲜明的；聪明的；愉快的 adv. 欢快地；明亮地；光明地,
212,bring,英:/brɪŋ/ 美:/brɪŋ/,vt. 带来；引起；促使；使某人处于某种情况或境地,
213,broad,英:/brɔːd/ 美:/brɔːd/,adj. 宽的，辽阔的；显著的；大概的 n. 宽阔部分,
214,broadcast,英:/ˈbrɔːdkɑːst/ 美:/ˈbrɔːdkæst/,v. 广播；散布；撒播 n. 广播；广播节目,
215,brother,英:/'brʌðə/ 美:/'brʌðɚ/,n. 兄弟；战友；同事 int. [俚]我的老兄！,
216,brown,英:/braʊn/ 美:/braʊn/,adj. 棕色的，褐色的；太阳晒黑的 vi. 变成褐色,
217,brush,英:/brʌʃ/ 美:/brʌʃ/,n. 刷子；画笔；毛笔；争吵 vt. 刷；画,
218,bubble,英:/ˈbʌbl/ 美:/ˈbʌbl/,n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶 vi. 沸腾，冒泡；发出气泡声,
219,build,英:/bɪld/ 美:/bɪld/,vt. 建筑；建立 vi. 建筑；建造,
220,building,英:/'bɪldɪŋ/ 美:/'bɪldɪŋ/,n. 建筑；建筑物 v. 建筑；建立；增加（build的ing形式）,
221,bullet,英:/ˈbʊlɪt/ 美:/ˈbʊlɪt/,n. 子弹；只选某党全部候选人的投票；[美俚]豆子 vi. 射出；迅速行进,
222,burn,英:/bɜːn/ 美:/bɝn/,vt. 燃烧；烧毁，灼伤；激起…的愤怒 vi. 燃烧；烧毁；发热,
223,burst,英:/bɜːst/ 美:/bɜːrst/,vi. 爆炸；爆发，突发 vt. 爆炸；爆发，突发,
224,bury,英:/ˈberi/ 美:/ˈberi/,vt. 埋葬；隐藏,
225,bus,英:/bʌs/ 美:/bʌs/,n. 公共汽车,
226,bush,英:/bʊʃ/ 美:/bʊʃ/,n. 矮树丛；灌木 vt. 以灌木装饰；使…精疲力竭,
227,business,英:/ˈbɪznəs/ 美:/ˈbɪznəs/,n. 商业；生意；交易；事情,
228,busy,英:/'bɪzɪ/ 美:/'bɪzi/,adj. 忙碌的；热闹的；正被占用的 vt. 使忙于,
229,but,"英:/bʌt/ 美:/bʌt,bət/",conj. 但是；然而；而是 adv. 仅仅，只,
230,butter,英:/ˈbʌtə(r)/ 美:/ˈbʌtər/,vt. 涂黄油于；[口]讨好 n. 黄油；奶油；奉承话,
231,button,英:/ˈbʌtn/ 美:/ˈbʌtn/,n. [计]按钮；钮扣 vt. 扣紧；扣住；在…上装钮扣,
232,buy,英:/baɪ/ 美:/baɪ/,vt. 购买；获得；贿赂 vi. 买，采购,
233,by,英:/baɪ/ 美:/baɪ/,prep. 被；经由；在……之前；在附近；依据；通过 adv. 经过；通过；附近；[域]白俄罗斯,
234,cake,英:/keɪk/ 美:/kek/,n. 蛋糕；块状物；利益总额 vt. 使结块,
